,,,,PowerShell Profile,AppCert DLLs,KernelCallbackTable,Kerberoasting,,,,,,,,,,,,,,,,,,
,,,,Emond,AppInit DLLs,AppDomainManager,AS-REP Roasting,,,,,,,,,,,,,,,,,,
,,,,Component Object Model Hijacking,Application Shimming,Impair Defenses (11),Steal Web Session Cookie,,,,,,,,,,,,,,,,,,
,,,,Installer Packages,Image File Execution Options Injection,Disable or Modify Tools,Unsecured Credentials (8),,,,,,,,,,,,,,,,,,
,,,,External Remote Services,PowerShell Profile,Disable Windows Event Logging,Credentials In Files,,,,,,,,,,,,,,,,,,
,,,,Hijack Execution Flow (13),Emond,Impair Command History Logging,Credentials in Registry,,,,,,,,,,,,,,,,,,
,,,,DLL Search Order Hijacking,Component Object Model Hijacking,Disable or Modify System Firewall,Bash History,,,,,,,,,,,,,,,,,,
,,,,DLL Side-Loading,Installer Packages,Indicator Blocking,Private Keys,,,,,,,,,,,,,,,,,,
,,,,Dylib Hijacking,Exploitation for Privilege Escalation,Disable or Modify Cloud Firewall,Cloud Instance Metadata API,,,,,,,,,,,,,,,,,,
,,,,Executable Installer File Permissions Weakness,Hijack Execution Flow (13),Disable Cloud Logs,Group Policy Preferences,,,,,,,,,,,,,,,,,,
,,,,Dynamic Linker Hijacking,DLL Search Order Hijacking,Safe Mode Boot,Container API,,,,,,,,,,,,,,,,,,
,,,,Path Interception by PATH Environment Variable,DLL Side-Loading,Downgrade Attack,Chat Messages,,,,,,,,,,,,,,,,,,
,,,,Path Interception by Search Order Hijacking,Dylib Hijacking,Spoof Security Alerting,,,,,,,,,,,,,,,,,,,
,,,,Path Interception by Unquoted Path,Executable Installer File Permissions Weakness,Disable or Modify Linux Audit System,,,,,,,,,,,,,,,,,,,
,,,,Services File Permissions Weakness,Dynamic Linker Hijacking,Impersonation,,,,,,,,,,,,,,,,,,,
,,,,Services Registry Permissions Weakness,Path Interception by PATH Environment Variable,Indicator Removal (9),,,,,,,,,,,,,,,,,,,
,,,,COR_PROFILER,Path Interception by Search Order Hijacking,Clear Windows Event Logs,,,,,,,,,,,,,,,,,,,
,,,,KernelCallbackTable,Path Interception by Unquoted Path,Clear Linux or Mac System Logs,,,,,,,,,,,,,,,,,,,
,,,,AppDomainManager,Services File Permissions Weakness,Clear Command History,,,,,,,,,,,,,,,,,,,
,,,,Implant Internal Image,,File Deletion,,,,,,,,,,,,,,,,,,,
,,,,Modify Authentication Process (9),Services Registry Permissions Weakness,,,,,,,,,,,,,,,,,,,,
,,,,Domain Controller Authentication,COR_PROFILER,Network Share Connection Removal,,,,,,,,,,,,,,,,,,,
,,,,Password Filter DLL,KernelCallbackTable,Timestomp,,,,,,,,,,,,,,,,,,,
,,,,Pluggable Authentication Modules,AppDomainManager,Clear Network Connection History and Configurations,,,,,,,,,,,,,,,,,,,
,,,,Network Device Authentication,Process Injection (12),Clear Mailbox Data,,,,,,,,,,,,,,,,,,,
,,,,Reversible Encryption,Dynamic-link Library Injection,Clear Persistence,,,,,,,,,,,,,,,,,,,
,,,,Multi-Factor Authentication,Portable Executable Injection,Indirect Command Execution,,,,,,,,,,,,,,,,,,,
,,,,Hybrid Identity,Thread Execution Hijacking,Masquerading (9),,,,,,,,,,,,,,,,,,,
,,,,Network Provider DLL,Asynchronous Procedure Call,Invalid Code Signature,,,,,,,,,,,,,,,,,,,
,,,,Conditional Access Policies,Thread Local Storage,Right-to-Left Override,,,,,,,,,,,,,,,,,,,
,,,,Office Application Startup (6),Ptrace System Calls,Rename System Utilities,,,,,,,,,,,,,,,,,,,
,,,,Office Template Macros,Proc Memory,Masquerade Task or Service,,,,,,,,,,,,,,,,,,,
,,,,Office Test,Extra Window Memory Injection,Match Legitimate Name or Location,,,,,,,,,,,,,,,,,,,
,,,,Outlook Forms,Process Hollowing,Space after Filename,,,,,,,,,,,,,,,,,,,
,,,,Outlook Home Page,Process Doppelgänging,Double File Extension,,,,,,,,,,,,,,,,,,,
,,,,Outlook Rules,VDSO Hijacking,Masquerade File Type,,,,,,,,,,,,,,,,,,,
,,,,Add-ins,ListPlanting,Break Process Trees,,,,,,,,,,,,,,,,,,,
,,,,Power Settings,Scheduled Task/Job (5),Modify Authentication Process (9),,,,,,,,,,,,,,,,,,,
,,,,Pre-OS Boot (5),At,Domain Controller Authentication,,,,,,,,,,,,,,,,,,,
,,,,System Firmware,Cron,Password Filter DLL,,,,,,,,,,,,,,,,,,,
,,,,Component Firmware,Scheduled Task,Pluggable Authentication Modules,,,,,,,,,,,,,,,,,,,
,,,,Bootkit,Systemd Timers,Network Device Authentication,,,,,,,,,,,,,,,,,,,
,,,,ROMMONkit,Container Orchestration Job,Reversible Encryption,,,,,,,,,,,,,,,,,,,
,,,,TFTP Boot,Valid Accounts (4),Multi-Factor Authentication,,,,,,,,,,,,,,,,,,,
,,,,Scheduled Task/Job (5),Default Accounts,Hybrid Identity,,,,,,,,,,,,,,,,,,,
,,,,At,Domain Accounts,Conditional Access Policies,,,,,,,,,,,,,,,,,,,
,,,,Cron,Local Accounts,Network Provider DLL,,,,,,,,,,,,,,,,,,,
,,,,Scheduled Task,Cloud Accounts,Modify Cloud Compute Infrastructure (5),,,,,,,,,,,,,,,,,,,
,,,,Systemd Timers,,Create Snapshot,,,,,,,,,,,,,,,,,,,
,,,,Container Orchestration Job,,Create Cloud Instance,,,,,,,,,,,,,,,,,,,
,,,,Server Software Component (5),,Delete Cloud Instance,,,,,,,,,,,,,,,,,,,
,,,,SQL Stored Procedures,,Revert Cloud Instance,,,,,,,,,,,,,,,,,,,
,,,,Transport Agent,,Modify Cloud Compute Configurations,,,,,,,,,,,,,,,,,,,
,,,,Web Shell,,Modify Registry,,,,,,,,,,,,,,,,,,,
,,,,IIS Components,,Modify System Image (2),,,,,,,,,,,,,,,,,,,
,,,,Terminal Services DLL,,Patch System Image,,,,,,,,,,,,,,,,,,,
,,,,Traffic Signaling (2),,Downgrade System Image,,,,,,,,,,,,,,,,,,,
,,,,Port Knocking,,Network Boundary Bridging (1),,,,,,,,,,,,,,,,,,,
,,,,Socket Filters,,Network Address Translation Traversal,,,,,,,,,,,,,,,,,,,
,,,,Valid Accounts (4),,Obfuscated Files or Information (13),,,,,,,,,,,,,,,,,,,
,,,,Default Accounts,,Binary Padding,,,,,,,,,,,,,,,,,,,
,,,,Domain Accounts,,Software Packing,,,,,,,,,,,,,,,,,,,
,,,,Local Accounts,,Steganography,,,,,,,,,,,,,,,,,,,
,,,,Cloud Accounts,,Compile After Delivery,,,,,,,,,,,,,,,,,,,
,,,,,,Indicator Removal from Tools,,,,,,,,,,,,,,,,,,,
,,,,,,HTML Smuggling,,,,,,,,,,,,,,,,,,,
,,,,,,Dynamic API Resolution,,,,,,,,,,,,,,,,,,,
,,,,,,Stripped Payloads,,,,,,,,,,,,,,,,,,,
,,,,,,Embedded Payloads,,,,,,,,,,,,,,,,,,,
,,,,,,Command Obfuscation,,,,,,,,,,,,,,,,,,,
,,,,,,Fileless Storage,,,,,,,,,,,,,,,,,,,
,,,,,,LNK Incon Smuggling,,,,,,,,,,,,,,,,,,,
,,,,,,Encrypted/Encoded File,,,,,,,,,,,,,,,,,,,
,,,,,,Pre-OS Boot (5),,,,,,,,,,,,,,,,,,,
,,,,,,System Firmware,,,,,,,,,,,,,,,,,,,
,,,,,,Component Firmware,,,,,,,,,,,,,,,,,,,
,,,,,,Bootkit,,,,,,,,,,,,,,,,,,,
,,,,,,ROMMONkit,,,,,,,,,,,,,,,,,,,
,,,,,,TFTP Boot,,,,,,,,,,,,,,,,,,,
,,,,,,Process Injection (12),,,,,,,,,,,,,,,,,,,
,,,,,,Dynamic-link Library Injection,,,,,,,,,,,,,,,,,,,
,,,,,,Portable Executable Injection,,,,,,,,,,,,,,,,,,,
,,,,,,Thread Execution Hijacking,,,,,,,,,,,,,,,,,,,
,,,,,,Asynchronous Procedure Call,,,,,,,,,,,,,,,,,,,
,,,,,,Thread Local Storage,,,,,,,,,,,,,,,,,,,
,,,,,,Ptrace System Calls,,,,,,,,,,,,,,,,,,,
,,,,,,Proc Memory,,,,,,,,,,,,,,,,,,,
,,,,,,Extra Window Memory Injection,,,,,,,,,,,,,,,,,,,
,,,,,,Process Hollowing,,,,,,,,,,,,,,,,,,,
,,,,,,Process Doppelgänging,,,,,,,,,,,,,,,,,,,
,,,,,,VDSO Hijacking,,,,,,,,,,,,,,,,,,,
,,,,,,ListPlanting,,,,,,,,,,,,,,,,,,,
,,,,,,Reflective Code Loading,,,,,,,,,,,,,,,,,,,
,,,,,,Rogue Domain Controller,,,,,,,,,,,,,,,,,,,
,,,,,,Rootkit,,,,,,,,,,,,,,,,,,,
,,,,,,Subvert Trust Controls (6),,,,,,,,,,,,,,,,,,,
,,,,,,Gatekeeper Bypass,,,,,,,,,,,,,,,,,,,
,,,,,,Code Signing,,,,,,,,,,,,,,,,,,,
,,,,,,SIP and Trust Provider Hijacking,,,,,,,,,,,,,,,,,,,
,,,,,,Install Root Certificate,,,,,,,,,,,,,,,,,,,
,,,,,,Mark-of-the-Web Bypass,,,,,,,,,,,,,,,,,,,
,,,,,,Code Signing Policy Modification,,,,,,,,,,,,,,,,,,,
,,,,,,System Binary Proxy Execution (14),,,,,,,,,,,,,,,,,,,
,,,,,,Compiled HTML File,,,,,,,,,,,,,,,,,,,
,,,,,,Control Panel,,,,,,,,,,,,,,,,,,,
,,,,,,CMSTP,,,,,,,,,,,,,,,,,,,
,,,,,,InstallUtil,,,,,,,,,,,,,,,,,,,
,,,,,,Mshta,,,,,,,,,,,,,,,,,,,
,,,,,,Msiexec,,,,,,,,,,,,,,,,,,,
,,,,,,Odbcconf,,,,,,,,,,,,,,,,,,,
,,,,,,Regsvcs/Regasm,,,,,,,,,,,,,,,,,,,
,,,,,,Regsvr32,,,,,,,,,,,,,,,,,,,
,,,,,,Rundll32,,,,,,,,,,,,,,,,,,,
,,,,,,Verclsid,,,,,,,,,,,,,,,,,,,
,,,,,,Mavinject,,,,,,,,,,,,,,,,,,,
,,,,,,MMC,,,,,,,,,,,,,,,,,,,
,,,,,,Electron Applications,,,,,,,,,,,,,,,,,,,
,,,,,,System Script Proxy Execution (2),,,,,,,,,,,,,,,,,,,
,,,,,,PubPrn,,,,,,,,,,,,,,,,,,,
,,,,,,SyncAppvPublishingServer,,,,,,,,,,,,,,,,,,,
,,,,,,Template Injection,,,,,,,,,,,,,,,,,,,
,,,,,,Traffic Signaling (2),,,,,,,,,,,,,,,,,,,
,,,,,,Port Knocking,,,,,,,,,,,,,,,,,,,
,,,,,,Socket Filters,,,,,,,,,,,,,,,,,,,
,,,,,,Trusted Developer Utilities Proxy Execution (1),,,,,,,,,,,,,,,,,,,
,,,,,,MSBuild,,,,,,,,,,,,,,,,,,,
,,,,,,Unused/Unsupported Cloud Regions,,,,,,,,,,,,,,,,,,,
,,,,,,Use Alternate Authentication Material (4),,,,,,,,,,,,,,,,,,,
,,,,,,Application Access Token,,,,,,,,,,,,,,,,,,,
,,,,,,Pass the Hash,,,,,,,,,,,,,,,,,,,
,,,,,,Pass the Ticket,,,,,,,,,,,,,,,,,,,
,,,,,,Web Session Cookie,,,,,,,,,,,,,,,,,,,
,,,,,,Valid Accounts (4),,,,,,,,,,,,,,,,,,,
,,,,,,Default Accounts,,,,,,,,,,,,,,,,,,,
,,,,,,Domain Accounts,,,,,,,,,,,,,,,,,,,
,,,,,,Local Accounts,,,,,,,,,,,,,,,,,,,
,,,,,,Cloud Accounts,,,,,,,,,,,,,,,,,,,
,,,,,,Virtualization/Sandbox Evasion (3),,,,,,,,,,,,,,,,,,,
,,,,,,System Checks,,,,,,,,,,,,,,,,,,,
,,,,,,User Activity Based Checks,,,,,,,,,,,,,,,,,,,
,,,,,,Time Based Evasion,,,,,,,,,,,,,,,,,,,
,,,,,,Weaken Encryption (2),,,,,,,,,,,,,,,,,,,
,,,,,,Reduce Key Space,,,,,,,,,,,,,,,,,,,
,,,,,,Disable Crypto Hardware,,,,,,,,,,,,,,,,,,,
,,,,,,XSL Script Processing,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
